hanzi,unicode_codepoint,gif_filename
柱,26609,26609.gif
柳,26611,26611.gif
柴,26612,26612.gif
柿,26623,26623.gif
栅,26629,26629.gif
标,26631,26631.gif
栈,26632,26632.gif
栉,26633,26633.gif
栋,26635,26635.gif
栏,26639,26639.gif
树,26641,26641.gif
栓,26643,26643.gif
栖,26646,26646.gif
栗,26647,26647.gif
校,26657,26657.gif
栩,26665,26665.gif
株,26666,26666.gif
样,26679,26679.gif
核,26680,26680.gif
根,26681,26681.gif
格,26684,26684.gif
栽,26685,26685.gif
桀,26688,26688.gif
桁,26689,26689.gif
桂,26690,26690.gif
桃,26691,26691.gif
桅,26693,26693.gif
框,26694,26694.gif
案,26696,26696.gif
桌,26700,26700.gif
桎,26702,26702.gif
桐,26704,26704.gif
桑,26705,26705.gif
桓,26707,26707.gif
桔,26708,26708.gif
桕,26709,26709.gif
档,26723,26723.gif
桥,26725,26725.gif
桦,26726,26726.gif
桨,26728,26728.gif
桩,26729,26729.gif
桶,26742,26742.gif
梁,26753,26753.gif
梅,26757,26757.gif
梆,26758,26758.gif
梏,26767,26767.gif
梓,26771,26771.gif
梗,26775,26775.gif
梢,26786,26786.gif
梦,26790,26790.gif
梧,26791,26791.gif
梨,26792,26792.gif
梭,26797,26797.gif
梯,26799,26799.gif
械,26800,26800.gif
梳,26803,26803.gif
梵,26805,26805.gif
检,26816,26816.gif
棂,26818,26818.gif
棉,26825,26825.gif
棋,26827,26827.gif
棍,26829,26829.gif
棒,26834,26834.gif
棕,26837,26837.gif
棘,26840,26840.gif
棚,26842,26842.gif
棠,26848,26848.gif
棣,26851,26851.gif
森,26862,26862.gif
棱,26865,26865.gif
棵,26869,26869.gif
棺,26874,26874.gif
椁,26881,26881.gif
椅,26885,26885.gif
植,26893,26893.gif
椎,26894,26894.gif
椒,26898,26898.gif
椟,26911,26911.gif
椭,26925,26925.gif
椰,26928,26928.gif
椽,26941,26941.gif
椿,26943,26943.gif
楂,26946,26946.gif
楔,26964,26964.gif
楚,26970,26970.gif
楞,26974,26974.gif
楣,26979,26979.gif
楫,26987,26987.gif
楷,26999,26999.gif
楹,27001,27001.gif
楼,27004,27004.gif
概,27010,27010.gif
榄,27012,27012.gif
榆,27014,27014.gif
榈,27016,27016.gif
榉,27017,27017.gif
榔,27028,27028.gif
榕,27029,27029.gif
榛,27035,27035.gif
榜,27036,27036.gif
榧,27047,27047.gif
榨,27048,27048.gif
榫,27051,27051.gif
榭,27053,27053.gif
榴,27060,27060.gif
榷,27063,27063.gif
榻,27067,27067.gif
槁,27073,27073.gif
槃,27075,27075.gif
槌,27084,27084.gif
槐,27088,27088.gif
槛,27099,27099.gif
槟,27103,27103.gif
槽,27133,27133.gif
槿,27135,27135.gif
樊,27146,27146.gif
樟,27167,27167.gif
模,27169,27169.gif
樨,27176,27176.gif
横,27178,27178.gif
樱,27185,27185.gif
樵,27189,27189.gif
樽,27197,27197.gif
橄,27204,27204.gif
橇,27207,27207.gif
橘,27224,27224.gif
橙,27225,27225.gif
橛,27227,27227.gif
橡,27233,27233.gif
橱,27249,27249.gif
橹,27257,27257.gif
檀,27264,27264.gif
檄,27268,27268.gif
檐,27280,27280.gif
檬,27308,27308.gif
欠,27424,27424.gif
次,27425,27425.gif
欢,27426,27426.gif
欣,27427,27427.gif
欧,27431,27431.gif
欲,27442,27442.gif
欺,27450,27450.gif
款,27454,27454.gif
歃,27459,27459.gif
歇,27463,27463.gif
歉,27465,27465.gif
歌,27468,27468.gif
止,27490,27490.gif
正,27491,27491.gif
此,27492,27492.gif
步,27493,27493.gif
武,27494,27494.gif
歧,27495,27495.gif
歪,27498,27498.gif
歹,27513,27513.gif
死,27515,27515.gif
歼,27516,27516.gif
殃,27523,27523.gif
殄,27524,27524.gif
殆,27526,27526.gif
殉,27529,27529.gif
殊,27530,27530.gif
残,27531,27531.gif
殍,27533,27533.gif
殒,27538,27538.gif
殓,27539,27539.gif
殖,27542,27542.gif
殚,27546,27546.gif
殡,27553,27553.gif
殴,27572,27572.gif
段,27573,27573.gif
殷,27575,27575.gif
殿,27583,27583.gif
毁,27585,27585.gif
毂,27586,27586.gif
毅,27589,27589.gif
毋,27595,27595.gif
母,27597,27597.gif
每,27599,27599.gif
毒,27602,27602.gif
毓,27603,27603.gif
比,27604,27604.gif
毕,27605,27605.gif
毖,27606,27606.gif
毗,27607,27607.gif
毙,27609,27609.gif
毛,27611,27611.gif
毡,27617,27617.gif
毫,27627,27627.gif
毯,27631,27631.gif
毽,27645,27645.gif
氅,27653,27653.gif
氏,27663,27663.gif
民,27665,27665.gif
氓,27667,27667.gif
气,27668,27668.gif
氖,27670,27670.gif
氛,27675,27675.gif
氟,27679,27679.gif
氡,27681,27681.gif
氢,27682,27682.gif
氦,27686,27686.gif
氧,27687,27687.gif
氨,27688,27688.gif
氩,27689,27689.gif
氮,27694,27694.gif
氯,27695,27695.gif
水,27700,27700.gif
永,27704,27704.gif
汁,27713,27713.gif
求,27714,27714.gif
汆,27718,27718.gif
汇,27719,27719.gif
汉,27721,27721.gif
汊,27722,27722.gif
汐,27728,27728.gif
汗,27735,27735.gif
汛,27739,27739.gif
汝,27741,27741.gif
汞,27742,27742.gif
江,27743,27743.gif
池,27744,27744.gif
污,27745,27745.gif
汤,27748,27748.gif
汪,27754,27754.gif
汰,27760,27760.gif
汲,27762,27762.gif
汹,27769,27769.gif
汽,27773,27773.gif
沁,27777,27777.gif
沃,27779,27779.gif
沆,27782,27782.gif
沈,27784,27784.gif
沉,27785,27785.gif
沌,27788,27788.gif
沏,27791,27791.gif
沐,27792,27792.gif
沓,27795,27795.gif
沙,27801,27801.gif
沛,27803,27803.gif
沟,27807,27807.gif
没,27809,27809.gif
沤,27812,27812.gif
沥,27813,27813.gif
沦,27814,27814.gif
沧,27815,27815.gif
沪,27818,27818.gif
沫,27819,27819.gif
沮,27822,27822.gif
沱,27825,27825.gif
河,27827,27827.gif
沸,27832,27832.gif
油,27833,27833.gif
治,27835,27835.gif
沼,27836,27836.gif
沽,27837,27837.gif
沾,27838,27838.gif
沿,27839,27839.gif
泄,27844,27844.gif
泅,27845,27845.gif
泉,27849,27849.gif
泊,27850,27850.gif
泌,27852,27852.gif
泓,27859,27859.gif
泔,27860,27860.gif
法,27861,27861.gif
泛,27867,27867.gif
泞,27870,27870.gif
泡,27873,27873.gif
波,27874,27874.gif
泣,27875,27875.gif
泥,27877,27877.gif
注,27880,27880.gif
泪,27882,27882.gif
泫,27883,27883.gif
泯,27887,27887.gif
泰,27888,27888.gif
泳,27891,27891.gif
泵,27893,27893.gif
泻,27899,27899.gif
泼,27900,27900.gif
泽,27901,27901.gif
泾,27902,27902.gif
洁,27905,27905.gif
洄,27908,27908.gif
洋,27915,27915.gif
洌,27916,27916.gif
洒,27922,27922.gif
洗,27927,27927.gif
洛,27931,27931.gif
洞,27934,27934.gif
津,27941,27941.gif
洪,27946,27946.gif
洱,27953,27953.gif
洲,27954,27954.gif
活,27963,27963.gif
洼,27964,27964.gif
洽,27965,27965.gif
派,27966,27966.gif
流,27969,27969.gif
浃,27971,27971.gif
浅,27973,27973.gif
浆,27974,27974.gif
浇,27975,27975.gif
浊,27978,27978.gif
测,27979,27979.gif
济,27982,27982.gif
浏,27983,27983.gif
浑,27985,27985.gif
浓,27987,27987.gif
浙,27993,27993.gif
浚,27994,27994.gif
浜,27996,27996.gif
浦,28006,28006.gif
浩,28009,28009.gif
浪,28010,28010.gif
浮,28014,28014.gif
浴,28020,28020.gif
海,28023,28023.gif
浸,28024,28024.gif
涂,28034,28034.gif
涅,28037,28037.gif
消,28040,28040.gif
涉,28041,28041.gif
涌,28044,28044.gif
涎,28046,28046.gif
