id,topic,hanzi,frequency_rank
944,HSK4,大概,1664
945,HSK4,印象,1666
946,HSK4,禁止,1668
947,HSK4,美丽,1671
948,HSK4,心情,1676
949,HSK4,扔,1678
950,HSK4,地球,1678
951,HSK4,怀疑,1688
952,HSK4,准确,1693
953,HSK4,吵,1695
954,HSK4,提前,1709
955,HSK4,激动,1734
956,HSK4,兴奋,1742
957,HSK4,敲,1763
958,HSK4,信任,1788
959,HSK4,辣,1811
960,HSK4,出生,1824
961,HSK4,熟悉,1829
962,HSK4,流行,1836
963,HSK4,既然,1838
964,HSK4,演员,1842
965,HSK4,海洋,1843
966,HSK4,难道,1874
967,HSK4,其次,1918
968,HSK4,合格,1923
969,HSK4,回忆,1935
970,HSK4,相反,1960
971,HSK4,阳光,1991
972,HSK4,到处,1993
973,HSK4,适合,2003
974,HSK4,暂时,2040
975,HSK4,判断,2045
976,HSK4,积累,2058
977,HSK4,笨,2071
978,HSK4,恐怕,2090
979,HSK4,气候,2102
980,HSK4,律师,2110
981,HSK4,棵,2111
982,HSK4,祝贺,2129
983,HSK4,爱情,2135
984,HSK4,仔细,2151
985,HSK4,详细,2153
986,HSK4,趟,2181
987,HSK4,平时,2192
988,HSK4,好处,2223
989,HSK4,懒,2251
990,HSK4,轻松,2252
991,HSK4,逛,2329
992,HSK4,留学,2345
993,HSK4,顾客,2370
994,HSK4,竟然,2374
995,HSK4,中文,2378
996,HSK4,窄,2399
997,HSK4,感动,2431
998,HSK4,风景,2432
999,HSK4,提醒,2441
1000,HSK4,咸,2442
1001,HSK4,性格,2457
1002,HSK4,极其,2507
1003,HSK4,网站,2531
1004,HSK4,缺少,2612
1005,HSK4,答案,2618
1006,HSK4,翻译,2620
1007,HSK4,愉快,2641
1008,HSK4,麻烦,2663
1009,HSK4,免费,2665
1010,HSK4,可惜,2695
1011,HSK4,整理,2744
1012,HSK4,同情,2749
1013,HSK4,差不多,2767
1014,HSK4,精彩,2783
1015,HSK4,阅读,2823
1016,HSK4,果然,2844
1017,HSK4,可怜,2875
1018,HSK4,故意,2890
1019,HSK4,浪费,2911
1020,HSK4,正好,2939
1021,HSK4,网球,3004
1022,HSK4,热闹,3013
1023,HSK4,奖金,3033
1024,HSK4,主意,3065
1025,HSK4,长城,3107
1026,HSK4,皮肤,3139
1027,HSK4,随便,3165
1028,HSK4,失望,3178
1029,HSK4,合适,3192
1030,HSK4,代替,3229
1031,HSK4,对面,3238
1032,HSK4,温度,3317
1033,HSK4,有趣,3333
1034,HSK4,节约,3335
1035,HSK4,购物,3342
1036,HSK4,研究生,3349
1037,HSK4,报名,3422
1038,HSK4,肚子,3482
1039,HSK4,大夫,3512
1040,HSK4,乒乓球,3520
1041,HSK4,厉害,3571
1042,HSK4,商量,3622
1043,HSK4,得意,3624
1044,HSK4,航班,3640
1045,HSK4,勇敢,3685
1046,HSK4,骄傲,3724
1047,HSK4,招聘,3777
1048,HSK4,推迟,3783
1049,HSK4,冷静,3861
1050,HSK4,大使馆,3952
1051,HSK4,力气,4024
1052,HSK4,辛苦,4105
1053,HSK4,家具,4233
1054,HSK4,味道,4327
1055,HSK4,饮料,4333
1056,HSK4,乘坐,4402
1057,HSK4,吃惊,4434
1058,HSK4,收拾,4475
1059,HSK4,硕士,4482
1060,HSK4,师傅,4518
1061,HSK4,起飞,4521
1062,HSK4,羽毛球,4526
1063,HSK4,脾气,4531
1064,HSK4,耐心,4562
1065,HSK4,幽默,4573
1066,HSK4,日记,4675
1067,HSK4,亲戚,4681
1068,HSK4,地址,4703
1069,HSK4,浪漫,4713
1070,HSK4,整齐,4756
1071,HSK4,伤心,4787
1072,HSK4,沙发,4798
1073,HSK4,握手,4826
1074,HSK4,活泼,4911
1075,HSK4,京剧,4958
1076,HSK4,偶尔,5066
1077,HSK4,窗户,5076
1078,HSK4,护士,5104
1079,HSK4,传真,5177
1080,HSK4,缺点,5220
1081,HSK4,养成,5226
1082,HSK4,讨厌,5290
1083,HSK4,个子,5344
1084,HSK4,烦恼,5375
1085,HSK4,号码,5473
1086,HSK4,后悔,5492
1087,HSK4,排列,5497
1088,HSK4,道歉,5550
1089,HSK4,优点,5575
1090,HSK4,座位,5588
1091,HSK4,笑话,5770
1092,HSK4,按时,5840
1093,HSK4,开玩笑,5887
1094,HSK4,原谅,5960
1095,HSK4,老虎,6052
1096,HSK4,打扮,6080
1097,HSK4,镜子,6130
1098,HSK4,孙子,6173
1099,HSK4,顺序,6296
1100,HSK4,羡慕,6320
