term,pinyin,cleaned_pinyin,updated_pinyin
对照,duìzhào,duìzhào,duì zhào
投身,tóushēn,tóushēn,tóu shēn
大片,dàpiàn,dàpiàn,dà piàn
全线,quánxiàn,quánxiàn,quán xiàn
看成,kànchéng,kànchéng,kàn chéng
后卫,hòuwèi,hòuwèi,hòu wèi
增大,zēngdà,zēngdà,zēng dà
身影,shēnyǐng,shēnyǐng,shēn yǐng
自称,zìchēng,zìchēng,zì chēng
妨碍,fáng'ài,fáng ài,fáng ài
余年,yúnián,yúnián,yú nián
违规,wéiguī,wéiguī,wéi guī
仓库,cāngkù,cāngkù,cāng kù
反抗,fǎnkàng,fǎnkàng,fǎn kàng
尖锐,jiānruì,jiānruì,jiān ruì
兴旺,xīngwàng,xīngwàng,xīng wàng
英勇,yīngyǒng,yīngyǒng,yīng yǒng
道歉,dàoqiàn,dàoqiàn,dào qiàn
光芒,guāngmáng,guāngmáng,guāng máng
破获,pòhuò,pòhuò,pò huò
电讯,diànxùn,diànxùn,diàn xùn
着急,zháojí,zháojí,zháo jí
热潮,rècháo,rècháo,rè cháo
兵团,bīngtuán,bīngtuán,bīng tuán
深切,shēnqiè,shēnqiè,shēn qiè
歌唱,gēchàng,gēchàng,gē chàng
爵士,juéshì,juéshì,jué shì
一齐,yīqí,yīqí,yī qí
全心全意,quánxīn-quányì,quánxīn quányì,quán xīn quán yì
世界银行,shìjiè yínháng,shìjiè yínháng,shì jiè yín háng
温饱,wēnbǎo,wēnbǎo,wēn bǎo
实情,shíqíng,shíqíng,shí qíng
力求,lìqiú,lìqiú,lì qiú
法郎,fǎláng,fǎláng,fǎ láng
携手,xiéshǒu,xiéshǒu,xié shǒu
优点,yōudiǎn,yōudiǎn,yōu diǎn
反击,fǎnjī,fǎnjī,fǎn jī
此人,cǐrén,cǐrén,cǐ rén
厕所,cèsuǒ,cèsuǒ,cè suǒ
冶金,yějīn,yějīn,yě jīn
言语,yányu,yányu,yán yu
言语,yányǔ,yányǔ,yán yǔ
出具,chūjù,chūjù,chū jù
犯人,fànrén,fànrén,fàn rén
灰色,huīsè,huīsè,huī sè
削弱,xuēruò,xuēruò,xuē ruò
车子,chēzi,chēzi,chē zi
在乎,zàihu,zàihu,zài hu
座位,zuòwèi,zuòwèi,zuò wèi
用途,yòngtú,yòngtú,yòng tú
