term,pinyin,cleaned_pinyin
殿宇,diànyǔ,diànyǔ
扼守,èshǒu,èshǒu
道统,dàotǒng,dàotǒng
钱眼儿,qiányǎnr,qiányǎnr
雅思,yǎsī,yǎsī
米线,mǐxiàn,mǐxiàn
庶民,shùmín,shùmín
励志,lìzhì,lìzhì
童声,tóngshēng,tóngshēng
受戒,shòujiè,shòujiè
锚地,máodì,máodì
彩球,cǎiqiú,cǎiqiú
策反,cèfǎn,cèfǎn
选辑,xuǎnjí,xuǎnjí
暗恋,ànliàn,ànliàn
毁谤,huǐbàng,huǐbàng
同好,tónghào,tónghào
缴枪,jiǎoqiāng,jiǎoqiāng
账务,zhàngwù,zhàngwù
懂行,dǒngháng,dǒngháng
狂吠,kuángfèi,kuángfèi
认命,rènmìng,rènmìng
河马,hémǎ,hémǎ
辽远,liáoyuǎn,liáoyuǎn
核桃仁儿,hétaorénr,hétaorénr
叙事诗,xùshìshī,xùshìshī
孺子牛,rúzǐniú,rúzǐniú
单打一,dāndǎyī,dāndǎyī
下台阶,xiàtáijiē,xiàtáijiē
下马威,xiàmǎwēi,xiàmǎwēi
安全帽,ānquánmào,ānquánmào
针线活儿,zhēnxiànhuór,zhēnxiànhuór
超凡脱俗,chāofán-tuōsú,chāofán tuōsú
楼堂馆所,lóu-táng-guǎn-suǒ,lóu táng guǎn suǒ
克己奉公,kèjǐ-fènggōng,kèjǐ fènggōng
同流合污,tóngliú-héwū,tóngliú héwū
大有文章,dàyǒu-wénzhāng,dàyǒu wénzhāng
原班人马,yuánbān rénmǎ,yuánbān rénmǎ
无奇不有,wúqí-bùyǒu,wúqí bùyǒu
千瓦小时,qiānwǎ xiǎoshí,qiānwǎ xiǎoshí
大风大浪,dàfēng-dàlàng,dàfēng dàlàng
战略物资,zhànlüè wùzī,zhànlüè wùzī
丧权辱国,sàngquán-rǔguó,sàngquán rǔguó
青梅竹马,qīngméi-zhúmǎ,qīngméi zhúmǎ
满员,mǎnyuán,mǎnyuán
宿主,sùzhǔ,sùzhǔ
昏死,hūnsǐ,hūnsǐ
胶水,jiāoshuǐ,jiāoshuǐ
叹号,tànhào,tànhào
就里,jiùlǐ,jiùlǐ
酒酿,jiǔniàng,jiǔniàng
战例,zhànlì,zhànlì
砒霜,pīshuāng,pīshuāng
师姐,shījiě,shījiě
奶子,nǎizi,nǎizi
纤纤,xiānxiān,xiānxiān
归心,guīxīn,guīxīn
心慈,xīncí,xīncí
脏乱差,zāng-luàn-chà,zāng luàn chà
咏叹调,yǒngtàndiào,yǒngtàndiào
连珠炮,liánzhūpào,liánzhūpào
告吹,gàochuī,gàochuī
框子,kuàngzi,kuàngzi
调演,diàoyǎn,diàoyǎn
责罚,zéfá,zéfá
脱帽,tuōmào,tuōmào
焊条,hàntiáo,hàntiáo
故知,gùzhī,gùzhī
刚健,gāngjiàn,gāngjiàn
念物,niànwù,niànwù
奸臣,jiānchén,jiānchén
人工降雨,réngōng jiàngyǔ,réngōng jiàngyǔ
柱石,zhùshí,zhùshí
军规,jūnguī,jūnguī
猛醒,měngxǐng,měngxǐng
求全责备,qiúquán-zébèi,qiúquán zébèi
郁郁寡欢,yùyù-guǎhuān,yùyù guǎhuān
盲童,mángtóng,mángtóng
复旧,fùjiù,fùjiù
滴水不漏,dīshuǐ-bùlòu,dīshuǐ bùlòu
偏食,piānshí,piānshí
病程,bìngchéng,bìngchéng
恭贺,gōnghè,gōnghè
引以为荣,yǐnyǐwéiróng,yǐnyǐwéiróng
画稿,huàgǎo,huàgǎo
飞逝,fēishì,fēishì
嬉闹,xīnào,xīnào
神女,shénnǚ,shénnǚ
实词,shící,shící
概览,gàilǎn,gàilǎn
渔轮,yúlún,yúlún
肩章,jiānzhāng,jiānzhāng
姨娘,yíniáng,yíniáng
遗恨,yíhèn,yíhèn
苏铁,sūtiě,sūtiě
旧友,jiùyǒu,jiùyǒu
口诀,kǒujué,kǒujué
