definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
12870,3916,,,1,拟声词,模拟笑声或撕裂声等
12871,3917,,,1,名词,犊子
12872,3918,,,1,副词,〈文〉一起；共同
12873,3919,,,1,名词,中医指局部皮肤肿胀坚硬的毒疮
12874,3920,,,1,动词,翘起
12875,3920,,,2,动词,折断
12876,3920,,,3,动词,使人感到为难
12877,3921,,,1,名词,船、飞机等两侧的边沿部分；也指其两侧
12878,3922,,,1,形容词,〈文〉深
12879,3923,,,1,名词,古代指军粮；后多指军警、政府机关工作人员的薪俸
12880,3924,,,1,动词,〈文〉两手抱拳，置于胸前，一种行礼方式
12881,3925,,,1,动词,用铡刀切
12882,3925,,,2,名词,铡刀
12883,3926,,,1,动词,闪过
12884,3926,,,2,动词,拽（zhuài）；拉
12885,3926,,,3,动词,抽取
12886,3927,,,1,名词,没有柄的小杯子
12887,3928,,,1,副词,急切地；赶紧
12888,3929,,,1,副词,表示动作行为的多次重复，相当于“屡次”
12889,3930,,,1,名词,金属元素，符号：Mg。银白色，燃烧时发出极亮的白光。镁粉可制造焰火、照明弹等，铝镁合金可以制作航空器材
12890,3931,,,1,名词,一种狭长的、垂直悬挂的旗子
12891,3931,,,2,名词,旧指引魂幡，出殡时孝子手持的狭长像幡的东西
12892,3932,,,1,名词,车前部驾牲畜的木杆。先秦时代是一根曲木，在车的中间；汉代以后多是两根直木，在车前两侧
12893,3932,,,2,名词,古代指辕门；后也借指官署
12894,3933,,,1,动词,烹调方法，在烧、炒之前把菜、肉等放到热油中炒到半熟
12895,3934,,,1,动词,买卖货物时延期付款或收款
12896,3935,,,1,动词,〈文〉闭
12897,3935,,,2,动词,特指为书信封口（常用在信封上寄信人姓名后）
12898,3935,,,3,名词,书信
12899,3936,,,1,动词,〈文〉用双手捧
12900,3937,,,1,形容词,形容能把一种东西粘（zhān）连在另一种东西上的性质
12901,3938,,,1,动词,把食物放在煲中用小火慢煮或熬
12902,3938,,,2,名词,壁较为陡直呈圆筒状的锅
12903,3939,,,1,动词,积累；储蓄
12904,3940,,,1,动词,拼凑；聚集
12905,3941,,,1,动词,谋取
12906,3942,,,1,,用于地名。如：牟平，在山东；中牟，在河南
12907,3943,,,1,名词,鸟，像鹰而较大，嘴呈钩状，视觉敏锐，善飞翔，性凶猛，捕食鸟兽。种类很多，常见的有秃鹫、兀鹫
12908,3943,,,2,名词,〈文〉雕1
12909,3944,,,1,名词,套在脚腕上的刑具
12910,3945,,,1,形容词,〈文〉盛大
12911,3946,,,1,叹词,表示惊讶、惊恐
12912,3946,,,2,叹词,表示突然发现或想起
12913,3947,,,1,量词,用于字画和照片等，相当于“幅”
12914,3947,,,2,名词,画幅
12915,3948,,,1,动词,吃；吞咽
12916,3949,,,1,动词,从井里打水；泛指从下往上打水
12917,3950,,,1,动词,欺诈
12918,3950,,,2,动词,料想；猜度（duó）
12919,3950,,,3,动词,忧虑；担忧
12920,3950,,,4,名词,传说中上古朝代名，舜所建
12921,3950,,,5,名词,周朝诸侯国名，在今山西
12922,3951,,,1,动词,捋（luō）
12923,3951,,,2,动词,训斥
12924,3951,,,3,动词,撤去（职务）
12925,3952,,,1,动词,用盐、糖等浸渍（食物）
12926,3953,,,1,形容词,肮脏；不干净
12927,3953,,,2,形容词,不顺心；不舒畅
12928,3953,,,3,动词,使难堪
12929,3954,,,1,动词,放轻脚步，使不出声
12930,3954,,,2,动词,〈文〉踩；登
12931,3954,,,3,动词,〈文〉追随；追踪
12932,3955,,,1,名词,皮肤或皮下组织化脓性炎症，多发生在颈部或背部，症状是皮肤局部红肿变硬，表面有许多脓疱，有时形成许多筛状小孔，疼痛异常
12933,3956,,,1,动词,腐烂
12934,3956,,,2,名词,〈文〉稠粥；像粥的食品
12935,3957,,,1,名词,糜子
12936,3958,,,1,动词,蜂、蝎子等用毒刺刺人或动物
12937,3958,,,2,动词,某些物质刺激皮肤或黏膜，使感觉不适或微痛
12938,3959,,,1,名词,指海蜇
12939,3960,,,1,,用于地名。如：祁县，在山西；祁阳，在湖南；祁门，在安徽
12940,3961,,,1,动词,玩弄妓女
12941,3962,,,1,名词,周朝诸侯国名，在今山东滕州一带
12942,3963,,,1,动词,用微火烘烤
12943,3964,,,1,名词,脊椎动物口腔的上部。分前后两部分：前部分由骨和肌肉构成，称硬腭；后部分由结缔组织和肌肉构成，称软腭。
12944,3965,,,1,名词,拉丁语[tinctura]音译。指酊剂。
12945,3966,,,1,量词,用于清水，相当于“道” “片”
12946,3966,,,2,形容词,水又深又广
12947,3967,,,1,名词,钢制的手工打磨工具，用来对金属、竹木或皮革等的表面进行加工
12948,3967,,,2,动词,用锉打磨
12949,3968,,,1,动词,向四外溅射或爆开
12950,3968,,,2,动词,向外突然发出
12951,3969,,,1,形容词,某些地区指怯懦，缺乏勇气
12952,3969,,,2,形容词,某些地区指不好，坏
12953,3970,,,1,名词,部分水生动物的呼吸器官。用来吸取溶解在水中的氧。形状多样，有片状、束状、丝状和羽毛状等。鱼类的鳃一般有鳃盖保护
12954,3971,,,1,名词,妓女
12955,3972,,,1,叹词,表示惊异
12956,3973,,,1,名词,小腿与脚连接处左右两侧凸起的圆骨
12957,3974,,,1,名词,釉子
12958,3975,,,1,名词,装刀、剑的硬套
12959,3975,,,2,名词,形状像鞘的东西
12960,3976,,,1,名词,鞭鞘，拴在鞭绳末端的细皮条
12961,3977,,,1,动词,用竹篾、金属条、带子等勒紧或套紧
12962,3977,,,2,名词,勒在或套在外面的圈状物
12963,3978,,,1,名词,古书上说的一种香草
12964,3979,,,1,量词,用于聚集成束的细丝状的东西
12965,3980,,,1,名词,杈子
12966,3981,,,1,名词,用树杈（chà）加工制成的农具，长柄的一端是两个或两个以上略弯的长齿，可用来叉取柴草等
12967,3982,,,1,数词,数目，二十
12968,3983,,,1,数词,数字“百”的大写
12969,3984,,,1,名词,护城河
12970,3984,,,2,名词,沟
12971,3985,,,1,名词,皮肤上长的有色斑点或小疙瘩，没有疼痛或刺痒的感觉
12972,3986,,,1,名词,中医称中暑、霍乱、肠炎等急性病
12973,3987,,,1,名词,流氓；无赖
