rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
20215,专有,zhuānyǒu,,,动,独自拥有,专有 财产
20219,看守所,kānshǒusuǒ,,,名,依法临时拘押未经判决的犯罪嫌疑人以及其他被拘留者的机关,
20221,起誓,qǐshì,,,动,发誓；表明决心,
20223,交椅,jiāoyǐ,,,名,古代一种能折叠、腿交叉、有靠背的椅子。借指领导者的地位,第一把 交椅 （指第一把手） 。
20224,共度,gòngdù,,,动,共同度过,共度 周末
20226,木雕,mùdiāo,,,名,在木头上雕刻造型的工艺或作品,
20227,义愤,yìfèn,,,名,对非正义的行为或不公正的事情所产生的愤怒,出于 义愤
20227,义愤,yìfèn,,,名,对非正义的行为或不公正的事情所产生的愤怒,激起 义愤
20228,忍痛,rěntòng,,,动,忍受痛苦,忍痛 把脓挤出来
20230,受精,shòujīng,,,动,指精子与卵细胞结合形成受精卵,
20231,斩首,zhǎnshǒu,,,动,砍头；杀头,斩首 示众
20232,女仆,nǚpú,,,名,女性仆人,
20235,利索,lìsuo,,,形,利落,动作干净 利索
20235,利索,lìsuo,,,形,利落,把书稿整理 利索 了寄出去
20235,利索,lìsuo,,,形,利落,病还没好 利索
20236,天外,tiānwài,,,名,天空以外的地方；指极高极远的地方,魂飞 天外
20236,天外,tiānwài,,,名,天空以外的地方；指极高极远的地方,天外 来客
20238,老弟,lǎodì,,,名,对比自己年轻的男子的亲切称呼,
20240,起死回生,qǐsǐ-huíshēng,,,,使垂死的人复活。形容医术高明；也比喻使看来无望的事情发生转机,
20241,基因工程,jīyīn gōngchéng,,,,一种生物工程技术。用生物化学手段将生物细胞中带有遗传功能的基因分离出来，在体外进行重新组合，然后引入另一种生物的活细胞内，从而改变另一种生物的遗传性状或产生新的品种,
20242,隐匿,yǐnnì,,,动,藏起来使不露出,隐匿 赃款
20242,隐匿,yǐnnì,,,动,藏起来使不露出,隐匿 形迹
20242,隐匿,yǐnnì,,,,隐瞒,隐匿 销售收入
20242,隐匿,yǐnnì,,,,隐瞒,隐匿 实名
20243,毛发,máofà,,,名,指人的体毛和须发,
20244,九天,jiǔtiān,,,名,九重霄,
20246,水沟,shuǐgōu,,,名,排水用的沟渠,
20247,缜密,zhěnmì,,,形,细致严密,缜密 的思考
20248,承租,chéngzū,,,动,租用,承租 柜台
20248,承租,chéngzū,,,动,租用,承租 期限
20249,译作,yìzuò,,,名,翻译的作品,他的 译作 不少
20250,偏颇,piānpō,,,形,不公平；不公正,执法不可 偏颇
20250,偏颇,piānpō,,,形,不公平；不公正,失之 偏颇
20251,排演,páiyǎn,,,动,戏剧、舞蹈等上演前，演员在导演指导下进行演练,排演 节目
20252,书展,shūzhǎn,,,名,图书展览会或展销会的简称,
20252,书展,shūzhǎn,,,名,书法作品展览会的简称,
20254,总务,zǒngwù,,,名,机关、企事业单位的后勤工作,
20254,总务,zǒngwù,,,名,从事总务工作的人员,
20255,宪政,xiànzhèng,,,名,以宪法为核心的民主政治,
20257,季军,jìjūn,,,名,体育或其他比赛中的第三名,
20258,休整,xiūzhěng,,,动,军队利用战役间歇时间进行休息、整顿；泛指经过长时间紧张工作后进行休息、调理,部队 休整 5天
20259,织布,zhībù,,,动,把经线和纬线织成布匹,纺纱 织布
20259,织布,zhībù,,,动,把经线和纬线织成布匹,织布 机
20261,弟妹,dìmèi,,,名,弟弟和妹妹,
20261,弟妹,dìmèi,,,名,弟弟的妻子（多用于口语）,
20263,女方,nǚfāng,,,名,婚姻、恋爱关系中或男女对比时指女子一方,女方 家长对这位未来的女婿很满意
20263,女方,nǚfāng,,,名,婚姻、恋爱关系中或男女对比时指女子一方,这次踢毽子比赛 女方 获胜 。
20264,对打,duìdǎ,,,动,互相争斗；交手开打,
20265,毒蛇,dúshé,,,名,有毒的蛇。头多呈三角形，有跟毒牙相通的能分泌毒液的毒腺，使被咬的人或动物中毒。如蝮蛇、眼镜蛇,
20266,走人,zǒurén,,,动,离开；特指被辞退,人家不欢迎，赶紧 走人
20266,走人,zǒurén,,,动,离开；特指被辞退,不想干就卷铺盖 走人 。
20267,武侠小说,wǔxiá xiǎoshuō,,,,以描写武侠行侠仗义故事为主要内容的小说,
20268,司空见惯,sīkōng-jiànguàn,,,,唐·孟棨（qǐ）《本事诗·情感》记载：唐代诗人李绅（官居司空）慕名宴请诗人刘禹锡（原任和州刺史），席间刘禹锡赋诗：“司空见惯浑闲事，断尽江南刺史肠。”意思是有些事，您司空见得多了，觉得很平常；但我却觉得十分悲伤。后用“司空见惯”比喻经常看到，不足为奇,
20272,蜚声,fēishēng,,,动,扬名,蜚声 海内外
20273,水草,shuǐcǎo,,,名,水源和青草,水草 丰足
20273,水草,shuǐcǎo,,,名,某些水生植物的统称，如浮萍、水球藻等,
20274,无止境,wúzhǐjìng,,,,没有尽头,学问是 无止境 的
20275,下药,xiàyào,,,动,（医生）使用药物,对症 下药
20275,下药,xiàyào,,,动,施放毒药,全市统一 下药 灭鼠 。
20277,冰冻,bīngdòng,,,动,冻结成冰；使冷冻,大地 冰冻
20277,冰冻,bīngdòng,,,动,冻结成冰；使冷冻,冰冻 柿子好吃
20278,格子,gézi,,,名,隔成的方形空栏或空框,窗 格子
20279,阴郁,yīnyù,,,形,（天气）阴暗沉闷,阴郁 的天气
20279,阴郁,yīnyù,,,形,心情忧郁；气氛不活跃,阴郁 的表情
20279,阴郁,yīnyù,,,形,心情忧郁；气氛不活跃,会上气氛 阴郁
20282,繁杂,fánzá,,,形,繁多杂乱,内容 繁杂
20282,繁杂,fánzá,,,形,繁多杂乱,繁杂 的后勤工作
20283,接生,jiēshēng,,,动,护理产妇分娩,请助产大夫 接生
20283,接生,jiēshēng,,,动,护理产妇分娩,接生 婆
20284,便携,biànxié,,,动,体积小、重量轻、便于携带,这种帐篷耐用而又 便携
20284,便携,biànxié,,,动,体积小、重量轻、便于携带,便携 式
20286,有意无意,yǒuyì-wúyì,,,,也许有意，也许无意。多指看似无意实际上有意,
20287,粗俗,cūsú,,,形,（言谈、举止等）粗野低俗；不文雅,言谈 粗俗
20288,蠕动,rúdòng,,,动,蠕,蚕在桑叶上面 蠕动
20288,蠕动,rúdòng,,,动,蠕,道路拥堵，车辆只能 蠕动 前行 。
20288,蠕动,rúdòng,,,动,指消化道、输尿管等收缩运动，以促使管道内物质移动,肠胃 蠕动 可以促进消化 。
20290,受用,shòuyong,,,形,舒适；舒服（多用于否定）,肠胃有点 儿 不 受用
20290,受用,shòuyong,,,形,舒适；舒服（多用于否定）,这话听起来很不 受用 。
20290,受用,shòuyòng,,,动,受益；得益,先生的治学经验，学生 受用 不尽 。
20290,受用,shòuyòng,,,动,享受；享用,他的遗产，够儿女 受用 一辈子了 。
20291,行营,xíngyíng,,,名,旧指出征时临时的军营；特指统帅所在的军营,
20291,行营,xíngyíng,,,名,旧指驻扎在某个地区的军事首脑机关。如南昌行营、西安行营,
20292,凛然,lǐnrán,,,形,形容态度严肃、令人敬畏的样子,神态 凛然
20292,凛然,lǐnrán,,,形,形容态度严肃、令人敬畏的样子,大义 凛然
20293,映照,yìngzhào,,,动,照射,阳光 映照 大地
20294,士大夫,shìdàfū,,,名,古代泛指官僚阶层，有时包括未做官但有地位有声望的读书人,
20295,吭声,kēngshēng,,,动,吭气,她多累也不 吭声
20296,衣冠,yīguān,,,名,衣服和帽子；泛指衣着穿戴,衣冠 简朴
