rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4025,渍,zì,,,动,浸泡；沤,浸 渍
4025,渍,zì,,,动,（物体上）积存着脏东西,车轴上 渍 了很多油泥
4025,渍,zì,,,动,（物体上）积存着脏东西,茶壶里 渍 上一层茶锈 。
4025,渍,zì,,,名,积存在物体上的脏东西,血 渍
4025,渍,zì,,,名,积存在物体上的脏东西,油 渍
4025,渍,zì,,,名,积存在物体上的脏东西,污 渍
4025,渍,zì,,,名,地上的积水,防洪排 渍
4025,渍,zì,,,名,地上的积水,渍 涝
4025,渍,zì,,,名,地上的积水,内 渍
4027,炽,chì,,,形,（火）旺；旺盛热烈,火 炽
4027,炽,chì,,,形,（火）旺；旺盛热烈,炽 热
4028,啶,dìng,,,,音译用字，用于“吡啶” “嘧啶”等,
4029,雍,yōng,,,形,〈文〉和谐,雍 合
4029,雍,yōng,,,形,〈文〉和谐,雍 睦
4029,雍,yōng,,,名,○ 姓,
4030,猢,hú,猢狲,húsūn,名,猴子,树倒 猢狲 散
4032,宥,yòu,,,动,〈文〉 宽容；饶恕,宥 其罪责
4032,宥,yòu,,,动,〈文〉 宽容；饶恕,宽 宥
4032,宥,yòu,,,动,〈文〉 宽容；饶恕,原 宥
4033,弈,yì,,,名,围棋,博 弈
4033,弈,yì,,,动,下棋,对 弈
4033,弈,yì,,,名,○ 姓,
4034,鲱,fēi,,,名,鱼，体侧扁而长，背青黑色，腹银白色，没有侧线。是冷水性海洋鱼类，世界重要经济鱼类之一,
4035,酚,fēn,,,名,有机化合物的一类，由羟基直接与苯环的碳原子相连接而成。如苯酚等,
4036,酋,qiú,,,名,酋长,
4036,酋,qiú,,,名,（强盗、土匪或侵略者的）头目,贼 酋
4036,酋,qiú,,,名,（强盗、土匪或侵略者的）头目,敌 酋
4036,酋,qiú,,,名,○ 姓,
4037,嶂,zhàng,,,名,〈文〉 形状像屏障的山峰,层峦叠 嶂
4038,麒,qí,麒麟,qílín,名,古代传说中一种象征祥瑞的动物，形状像鹿，头上有角，全身有鳞甲,
4039,骼,gé,,,名,骨的统称,骨 骼
4040,痈,yōng,,,名,皮肤或皮下组织化脓性炎症，多发生在颈部或背部，症状是皮肤局部红肿变硬，表面有许多脓疱，有时形成许多筛状小孔，疼痛异常,
4042,妊,rèn,,,动,怀孕,妊 娠
4042,妊,rèn,,,动,怀孕,妊 妇
