definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
7741111,774111,1,(～的,chòuhūhū·de,
7741911,774191,1,(～的,chòuhōnghōng·de,
7743211,774321,1,same as至交,zhìjiāo,
7744711,774471,1,same as‘致辞’,zhì∥cí,
7744811,774481,1,同same as‘台’,tái,
7745011,774501,1,〈书fml.〉同same as‘锸’,chā,
7745312,774531,2,同same as‘潟’,xì,
7745411,774541,1,〈书fml.〉同same as‘潟卤’,xìlǔ,
7745511,774551,1,same as舅母,jiù·mu,
7746111,774611,1,〈书fml.〉同same as‘衅’,xìn,
7746411,774641,1,见see【唇枪舌剑】,chún qiāng shé jiàn,
7747211,774721,1,same as舌根音,shégēnyīn,
7747311,774731,1,same as舍间,shèjiān,
7749111,774911,1,same as舒服,shū·fu,
7750311,775031,1,(～儿,wǔbànr,
7750612,775061,2,same as舞场,wǔchǎng,
7752311,775231,1,〈书fml.〉同same as‘船’,chuán,
7755611,775561,1,same as舵轮,duòlún,
7757111,775711,1,same as船家,chuánjiā,
7758611,775861,1,见see[舴艋](zéměng)。,,
7758711,775871,1,见see[艅艎],yúhuáng,
7759112,775911,2,同same as‘搒’(bàng)。,,
