hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12868,强奸,10469,13453,qiáng jiān,1,
12869,火腿,10470,13454,huǒ tuǐ,1,
12870,股东大会,10471,13455,gǔ dōng dà huì,1,
12871,惨重,10472,13456,cǎn zhòng,1,
12872,契约,10473,13457,qì yuē,1,
12873,出力,10474,13458,chū lì,1,
12874,重演,10476,13459,chóng yǎn,1,
12875,敌军,10477,13460,dí jūn,1,
12876,河口,10478,13461,hé kǒu,1,
12877,致病,10479,13462,zhì bìng,1,
12878,刻印,10481,13463,kè yìn,1,
12879,组装,10483,13464,zǔ zhuāng,1,
12880,入伍,10484,13465,rù wǔ,1,
12881,旁观,10485,13466,páng guān,1,
12882,奋勇,10486,13467,fèn yǒng,1,
12883,充沛,10487,13468,chōng pèi,1,
12884,煽动,10489,13469,shān dòng,1,
12885,讲学,10491,13470,jiǎng xué,1,
12886,惊醒,10492,13471,jīng xǐng,1,
12886,惊醒,10492,13472,jīng xing,2,
12887,误区,10493,13473,wù qū,1,
12888,情调,10494,13474,qíng diào,1,
12889,自救,10495,13475,zì jiù,1,
12890,撤回,10496,13476,chè huí,1,
12891,油管,10497,13477,yóu guǎn,1,
12892,全胜,10498,13478,quán shèng,1,
12893,除夕,10499,13479,chú xī,1,
12894,作准,10500,13480,zuò zhǔn,1,
12895,去处,10501,13481,qù chù,1,
12896,心力,10502,13482,xīn lì,1,
12897,富翁,10505,13483,fù wēng,1,
12898,盲人,10506,13484,máng rén,1,
12899,惊异,10507,13485,jīng yì,1,
12900,心跳,10508,13486,xīn tiào,1,
12901,勇士,10509,13487,yǒng shì,1,
12902,编剧,10511,13488,biān jù,1,
12903,全员,10513,13489,quán yuán,1,
12904,护送,10514,13490,hù sòng,1,
12905,科举,10516,13491,kē jǔ,1,
12906,军警,10517,13492,jūn jǐng,1,
12907,额头,10518,13493,é tóu,1,
12908,浮现,10520,13494,fú xiàn,1,
12909,史诗,10521,13495,shǐ shī,1,
