pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
80391,逼迫,bī pò,6,6094,1
202161,姻娅,yīn yà,,6098,1
200256,朝气蓬勃,zhāo qì péng bó,6,6099,1
99261,熏陶,xūn táo,6,6100,1
80061,报答,bào dá,6,6102,1
90321,朗读,lǎng dú,6,6103,1
80881,波浪,bō làng,6,6104,1
86181,古董,gǔ dǒng,6,6105,1
200157,伺候,cì hòu,6,6107,1
204341,津贴,jīn tiē,,6108,1
99331,压岁钱,yā suì qián,6,6109,1
100131,一丝不苟,yī sī bù gǒu,6,6111,1
93871,曲子,qǔ zi,6,6112,1
86221,鼓动,gǔ dòng,6,6113,1
83391,捣乱,dǎo luàn,6,6115,1
102911,传记,zhuàn jì,6,6116,1
97291,惋惜,wǎn xī,6,6117,1
89971,恐吓,kǒng hè,6,6118,1
95861,爽快,shuǎng kuai,6,6119,1
83851,洞穴,dòng xué,6,6123,1
101651,珍稀,zhēn xī,6,6124,1
85221,福气,fú qi,6,6125,1
84801,诽谤,fěi bàng,6,6126,1
93411,潜移默化,qián yí mò huà,6,6127,1
82541,触犯,chù fàn,6,6128,1
91231,埋葬,mái zàng,6,6129,1
200202,唠叨,láo dao,6,6132,1
99711,摇晃,yáo huàng,6,6135,1
87131,胡乱,hú luàn,6,6136,1
103381,祖父,zǔ fù,6,6137,1
206206,菩萨,pú sà,,6138,1
85191,服气,fú qì,6,6142,1
89761,靠拢,kào lǒng,6,6143,1
79591,奥秘,ào mì,6,6144,1
94781,绅士,shēn shì,6,6145,1
85091,丰盛,fēng shèng,6,6146,1
90301,懒惰,lǎn duò,6,6149,1
89141,惊动,jīng dòng,6,6152,1
79471,爱戴,ài dài,6,6153,1
206231,逍遥,xiāo yáo,,6156,1
90741,辽阔,liáo kuò,6,6159,1
204211,兰花,lán huā,,6162,1
85111,锋利,fēng lì,6,6163,1
84101,断绝,duàn jué,6,6165,1
83291,当心,dāng xīn,6,6167,1
85491,甘心,gān xīn,6,6168,1
82631,床单,chuáng dān,6,6169,1
200246,兴高采烈,xīng gāo cǎi liè,6,6170,1
98911,兴高采烈,xìng gāo cǎi liè,6,6170,2
96671,调料,tiáo liào,6,6171,1
98931,胸膛,xiōng táng,6,6173,1
88481,舰艇,jiàn tǐng,6,6174,1
101001,杂技,zá jì,6,6179,1
202061,混沌,hùn dùn,,6180,1
83691,惦记,diàn jì,6,6184,1
102981,壮丽,zhuàng lì,6,6187,1
80011,保重,bǎo zhòng,6,6188,1
200199,兢兢业业,jīng jīng yè yè,6,6195,1
86771,豪迈,háo mài,6,6198,1
99011,休养,xiū yǎng,6,6199,1
89861,刻不容缓,kè bù róng huǎn,6,6200,1
102821,专长,zhuān cháng,6,6201,1
103361,阻拦,zǔ lán,6,6203,1
80301,本钱,běn qián,6,6204,1
87351,慌忙,huāng máng,6,6207,1
97391,威望,wēi wàng,6,6208,1
93511,亲热,qīn rè,6,6209,1
90591,力所能及,lì suǒ néng jí,6,6210,1
80411,比方,bǐ fang,6,6212,1
100421,应酬,yìng chou,6,6215,1
81221,才干,cái gàn,6,6216,1
86061,恭敬,gōng jìng,6,6217,1
100571,油腻,yóu nì,6,6219,1
80401,鼻涕,bí tì,6,6220,1
93181,气功,qì gōng,6,6224,1
92591,片断,piàn duàn,6,6227,1
82761,雌雄,cí xióng,6,6228,1
79761,败坏,bài huài,6,6230,1
82791,次序,cì xù,6,6235,1
94421,撒谎,sā huǎng,6,6236,1
201991,坎坷,kǎn kě,,6237,1
93121,启事,qǐ shì,6,6243,1
82361,抽空,chōu kòng,6,6244,1
93701,晴朗,qíng lǎng,6,6245,1
200195,竭尽全力,jié jìn quán lì,6,6247,1
81281,裁员,cái yuán,6,6248,1
200201,举世瞩目,jǔ shì zhǔ mù,6,6249,1
101221,责怪,zé guài,6,6250,1
97371,威风,wēi fēng,6,6251,1
87851,急功近利,jí gōng jìn lì,6,6255,1
97031,吞咽,tūn yàn,6,6256,1
82971,打官司,dǎ guān si,6,6260,1
100101,一帆风顺,yī fān fēng shùn,6,6261,1
103221,踪迹,zōng jì,6,6263,1
85701,疙瘩,gē da,6,6264,1
102271,致辞,zhì cí,6,6265,1
97671,污蔑,wū miè,6,6266,1
85551,港湾,gǎng wān,6,6268,1
92301,派别,pài bié,6,6269,1
98941,凶恶,xiōng è,6,6273,1
103461,做主,zuò zhǔ,6,6274,1
93351,迁徙,qiān xǐ,6,6275,1
84361,发火,fā huǒ,6,6276,1
84501,反常,fǎn cháng,6,6277,1
87541,活该,huó gāi,6,6278,1
93301,牵制,qiān zhì,6,6279,1
91991,难堪,nán kān,6,6285,1
200184,含糊,hán hú,6,6286,1
86681,含糊,hán hu,6,6286,2
200220,热泪盈眶,rè lèi yíng kuàng,6,6287,1
204371,疲软,pí ruǎn,,6288,1
101671,侦探,zhēn tàn,6,6289,1
97011,推论,tuī lùn,6,6291,1
85171,敷衍,fū yǎn,6,6294,1
82011,乘务员,chéng wù yuán,6,6295,1
85771,根深蒂固,gēn shēn dì gù,6,6296,1
100601,有条不紊,yǒu tiáo bù wěn,6,6297,1
101801,争先恐后,zhēng xiān kǒng hòu,6,6298,1
206214,憧憬,chōng jǐng,,6302,1
201631,诬蔑,wū miè,,6303,1
80191,北极,běi jí,6,6305,1
88671,教养,jiào yǎng,6,6306,1
98741,欣欣向荣,xīn xīn xiàng róng,6,6307,1
204591,渲染,xuàn rǎn,,6308,1
99891,衣裳,yī shang,6,6309,1
90101,快活,kuài huo,6,6310,1
97831,武侠,wǔ xiá,6,6314,1
85661,告辞,gào cí,6,6315,1
86951,狠心,hěn xīn,6,6318,1
89211,敬礼,jìng lǐ,6,6324,1
95881,水龙头,shuǐ lóng tóu,6,6326,1
82341,崇敬,chóng jìng,6,6327,1
84811,匪徒,fěi tú,6,6333,1
88031,纪要,jì yào,6,6336,1
89031,精打细算,jīng dǎ xì suàn,6,6337,1
204521,拇指,mǔ zhǐ,,6341,1
100641,愚昧,yú mèi,6,6342,1
98011,喜闻乐见,xǐ wén lè jiàn,6,6346,1
91961,拿手,ná shǒu,6,6347,1
90411,冷酷,lěng kù,6,6348,1
102001,支流,zhī liú,6,6349,1
97731,无动于衷,wú dòng yú zhōng,6,6350,1
89101,精益求精,jīng yì qiú jīng,6,6351,1
91121,屡次,lǚ cì,6,6352,1
205091,事前,shì qián,,6353,1
93191,气魄,qì pò,6,6354,1
97801,无微不至,wú wēi bù zhì,6,6361,1
79491,安居乐业,ān jū lè yè,6,6362,1
99751,咬牙切齿,yǎo yá qiè chǐ,6,6367,1
96871,投掷,tóu zhì,6,6368,1
89321,就职,jiù zhí,6,6372,1
202211,傀儡,kuǐ lěi,,6373,1
102951,庄重,zhuāng zhòng,6,6374,1
103511,作息,zuò xī,6,6378,1
100411,荧屏,yíng píng,6,6379,1
85031,风趣,fēng qù,6,6381,1
91641,渺小,miǎo xiǎo,6,6385,1
204381,羽毛,yǔ máo,,6386,1
103201,自满,zì mǎn,6,6387,1
92011,难能可贵,nán néng kě guì,6,6388,1
91811,磨合,mó hé,6,6395,1
93341,迁就,qiān jiù,6,6396,1
81141,不择手段,bù zé shǒu duàn,6,6397,1
80491,鞭策,biān cè,6,6398,1
84281,恩怨,ēn yuàn,6,6399,1
81591,刹那,chà nà,6,6400,1
100461,庸俗,yōng sú,6,6404,1
202511,黄疸,huáng dǎn,,6405,1
80231,背诵,bèi sòng,6,6406,1
200169,发炎,fā yán,6,6407,1
95061,盛产,shèng chǎn,6,6413,1
93911,权衡,quán héng,6,6414,1
81011,哺乳,bǔ rǔ,6,6416,1
99311,押金,yā jīn,6,6417,1
97061,托运,tuō yùn,6,6418,1
200232,铜矿,tóng kuàng,6,6419,1
90471,理睬,lǐ cǎi,6,6422,1
81411,仓促,cāng cù,6,6423,1
92021,恼火,nǎo huǒ,6,6424,1
91921,母语,mǔ yǔ,6,6425,1
90572,利害,lì hài,6,6426,1
90571,利害,lì hai,6,6426,2
200159,大伙儿,dà huǒ r,6,6429,1
94621,上瘾,shàng yǐn,6,6430,1
200177,盖章,gài zhāng,6,6431,1
97201,外向,wài xiàng,6,6432,1
83531,敌视,dí shì,6,6433,1
