rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
35340,长机,zhǎngjī,,,名,空中编队中率领和指挥机群或僚机执行任务的飞机。通常由编队的指挥员驾驶,
35341,斗胆,dǒudǎn,,,副,表示大胆（常用作谦词）,斗胆 向你进一言
35342,烟波,yānbō,,,名,烟雾迷蒙的水面,客船在 烟波 里渐渐消失
35342,烟波,yānbō,,,名,烟雾迷蒙的水面,烟波 浩渺
35343,老三届,lǎosānjiè,,,名,指“文化大革命”期间1966、1967、1968三届初高中毕业生,
35345,枪林弹雨,qiānglín-dànyǔ,,,,枪支多如林，子弹密如雨。形容密集的炮火，激烈的战斗,
35346,寨主,zhàizhǔ,,,名,旧指聚居山林的强盗的首领,
35346,寨主,zhàizhǔ,,,名,旧指村寨首领,
35348,批注,pīzhù,,,动,加上批语或注释,边读边 批注
35348,批注,pīzhù,,,名,批注的文字,书上写满了 批注
35349,上劲,shàngjìn,,,形,精神抖擞；来劲 儿 这种车越开越 上劲,
35350,外带,wàidài,,,名,外胎的通称,
35350,外带,wàidài,,,动,另外加上,他看大门， 外带 看车 。
35352,言传身教,yánchuán-shēnjiào,,,,既用言语传授，又以行动示范。指用自己的言行教育、影响别人,
35353,过关斩将,guòguān-zhǎnjiàng,,,,《三国演义》中说，关羽从曹营出发，过五道关口，斩六员大将，最终找到刘备。比喻克服重重困难或战胜许多对手，终于获得成功,
35355,烈酒,lièjiǔ,,,名,酒精度数高、酒性猛烈的酒,
35356,白蚁,báiyǐ,,,名,昆虫，形状像蚂蚁，有的有翅膀。群居，生活在隐蔽的巢穴中。蛀食木材，对森林、房屋、枕木、桥梁、堤坝等破坏性极大,
35357,人工授精,réngōng shòujīng,,,,用人工方法使卵子受精,
35358,兵权,bīngquán,,,名,指统率和指挥军队的权力,解除 兵权
35358,兵权,bīngquán,,,名,指统率和指挥军队的权力,兵权 旁落
35359,屠夫,túfū,,,名,以宰杀牲畜为业的人,
35359,屠夫,túfū,,,名,比喻残杀人民的人,
