definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
3212,321,2,某些量词后缀,[used after a classifier as a suffix],
3221,322,1,"〈古代arch.〉指儿女, 现在专指儿子",child; son and daughter; now referring to son,
3222,322,2,人的通称,general term for human beings,
3223,322,3,"〈古代arch.〉特指有学问的男人,是男人的美称",ancient term of respect for a learned man; laudatory term for a man,
3224,322,4,〈古代arch.〉指你,you,
3225,322,5,〈古代arch.〉图书四部分类法(经史子集)中的第三类,"‘philosophy’, third of the four traditional categories of ancient Chinese writings (as distinct from ‘Confucian Classics’ 经, ‘history’ 史, and ‘belles-letters’ 集)",
3226,322,6,(～ㄦ,zǐr,
3227,322,7,卵,egg,
3228,322,8,幼小的;小的;嫩的,young; small; tender,
3229,322,9,〈比喻fig.〉派生的、附属的,subsidiary,
3230,322,10,(～ㄦ,zǐr,
3231,322,11,(～ㄦ,zǐr,
3232,322,12,(～ㄦ,zǐr,
3233,322,13,(Zǐ)姓。,a surname,
3234,322,14,封建五等爵位的第四等,viscount; fourth rank of the five feudal titles of the nobility,
3235,322,15,地支的第一位。,"zi, first of the 12 Earthly Branches",
3311,331,1,学习,learn; study,
3312,331,2,模仿,emulate; imitate; mimic,
3313,331,3,学问,learning; knowledge; scholarship,
3314,331,4,指学科,subject of study; branch of learning,
3315,331,5,学校,school,
3411,341,1,送出;交付,deliver; dispatch; send out; hand over; turn over,
3412,341,2,发射,launch; project; discharge; fire,
3413,341,3,产生;发生,produce; engender; happen; occur; take place,
3414,341,4,表达,express; convey; voice,
3415,341,5,扩大;开展,enlarge; expand; extend; broaden; develop; launch; promote; carry out,
3416,341,6,因得到大量财物而兴旺,flourish through obtaining a great deal of wealth,
3417,341,7,食物因发酵或水浸而膨胀,(of foodstuffs) rise or expand when leavened or soaked,
3418,341,8,放散;散开,"(of smoke, scent, etc.) diffuse; disperse",
3419,341,9,揭露;打开,expose; unmask; unveil; open; unfold; bring to light; lay bare,
3420,341,10,因变化而显现、散发,become; turn,
3421,341,11,流露(感情),reveal (one's feelings),
3422,341,12,感到(多指不愉快的情况,oft. an unpleasant condition,
3423,341,13,起程,set out; start a journey,
3424,341,14,开始行动,start doing sth.,
3425,341,15,引起;启发,generate; arouse; stimulate; inspire; enlighten; set off; touch off; bring about,
3426,341,16,"〈量词classifier〉颗,用于枪弹、炮弹",[of bullets and shells] round,
3421,342,1,头发,hair,
3511,351,1,接触;挨上,touch; contact,
3512,351,2,感受;受到,feel; suffer,
3513,351,3,"燃烧,也指灯发光(跟‘灭’相对as opposed to‘extinguished’})",burn; be ignited; be lit,
3514,351,4,"用在动词后,表示已经达到目的或有了结果",[used after a verb to indicate having reached the goal or got the result],
3515,351,5,〈方dial.〉入睡,fall asleep,
3521,352,1,表示动作的持续,[indicating the continuation of an action] be doing,
3522,352,2,表示状态的持续,[indicating the continuation of a state],
3523,352,3,"用在动词或表示程度的形容词后面,加强命令或嘱咐的语气",[used after a verb or an adjective to strengthen the tone of an order or exhortation],
3524,352,4,"加在某些动词后面,使变成介词",[used after certain verbs to form a preposition],
3531,353,1,(～ㄦ,zhāor,
3532,353,2,(～ㄦ,zhāor,
3533,353,3,〈方dial.〉放;搁进去,put in; add,
