parent_category,item,item_rank
HSK4,航班,3640
HSK4,勇敢,3685
HSK4,骄傲,3724
HSK4,招聘,3777
HSK4,推迟,3783
HSK4,冷静,3861
HSK4,大使馆,3952
HSK4,力气,4024
HSK4,辛苦,4105
HSK4,家具,4233
HSK4,味道,4327
HSK4,饮料,4333
HSK4,乘坐,4402
HSK4,吃惊,4434
HSK4,收拾,4475
HSK4,硕士,4482
HSK4,师傅,4518
HSK4,起飞,4521
HSK4,羽毛球,4526
HSK4,脾气,4531
HSK4,耐心,4562
HSK4,幽默,4573
HSK4,日记,4675
HSK4,亲戚,4681
HSK4,地址,4703
HSK4,浪漫,4713
HSK4,整齐,4756
HSK4,伤心,4787
HSK4,沙发,4798
HSK4,握手,4826
HSK4,活泼,4911
HSK4,京剧,4958
HSK4,偶尔,5066
HSK4,窗户,5076
HSK4,护士,5104
HSK4,传真,5177
HSK4,缺点,5220
HSK4,养成,5226
HSK4,讨厌,5290
HSK4,个子,5344
HSK4,烦恼,5375
HSK4,号码,5473
HSK4,后悔,5492
HSK4,排列,5497
HSK4,道歉,5550
HSK4,优点,5575
HSK4,座位,5588
HSK4,笑话,5770
HSK4,按时,5840
HSK4,开玩笑,5887
HSK4,原谅,5960
HSK4,老虎,6052
HSK4,打扮,6080
HSK4,镜子,6130
HSK4,孙子,6173
HSK4,顺序,6296
HSK4,羡慕,6320
HSK4,诚实,6364
HSK4,叶子,6377
HSK4,性别,6404
HSK4,语法,6467
HSK4,来不及,6509
HSK4,散步,6590
HSK4,难受,6615
HSK4,受不了,6626
HSK4,签证,6761
HSK4,礼貌,6964
HSK4,无聊,7010
HSK4,理发,7083
HSK4,入口,7087
HSK4,稍微,7173
HSK4,集合,7262
HSK4,咳嗽,7336
HSK4,狮子,7386
HSK4,出差,7535
HSK4,信用卡,7679
HSK4,做生意,7802
HSK4,加班,8105
HSK4,导游,8384
HSK4,来得及,8444
HSK4,干燥,8724
HSK4,顺便,8778
HSK4,笔记本,8832
HSK4,表扬,9020
HSK4,误会,9037
HSK4,流泪,9091
HSK4,减肥,9136
HSK4,密码,9200
HSK4,复印,9203
HSK4,鼓掌,9697
HSK4,洗衣机,9717
HSK4,毛巾,9915
HSK4,准时,9998
HSK4,抱歉,10273
HSK4,约会,10397
HSK4,盒子,10537
HSK4,词典,10607
HSK4,请客,10989
HSK4,猴子,11237
HSK4,暖和,11738
HSK4,湿润,11834
HSK4,打印,11998
HSK4,打折,12221
HSK4,打扰,12386
HSK4,瓶子,12521
HSK4,饺子,12612
HSK4,袜子,13036
HSK4,西红柿,13480
HSK4,表格,13556
HSK4,流利,13684
HSK4,马虎,14211
HSK4,孤单,14526
HSK4,巧克力,14645
HSK4,饼干,16040
HSK4,请假,16562
HSK4,害羞,18077
HSK4,牙膏,20175
HSK4,寒假,20679
HSK4,粗心,23199
HSK4,打针,23863
HSK4,堵车,25580
HSK4,干杯,27875
HSK4,凉快,30311
HSK4,填空,45581
HSK4,预习,51940
HSK5,政府,17
HSK5,企业,18
HSK5,建设,29
HSK5,目前,32
HSK5,地区,33
HSK5,生产,47
HSK5,同时,50
HSK5,领导,58
HSK5,合作,62
HSK5,人员,64
HSK5,部门,68
HSK5,个人,73
HSK5,改革,76
HSK5,方,79
HSK5,以及,81
HSK5,作为,87
HSK5,联合,89
HSK5,投资,93
HSK5,所,95
HSK5,建立,96
HSK5,产品,99
HSK5,政治,112
HSK5,重,122
HSK5,实现,125
HSK5,开发,131
HSK5,以来,132
HSK5,中心,144
HSK5,主席,151
HSK5,正,154
HSK5,政策,156
HSK5,项目,160
HSK5,基本,167
HSK5,不断,170
HSK5,思想,174
HSK5,总统,177
HSK5,经营,189
HSK5,单位,192
HSK5,工业,193
HSK5,专家,200
HSK5,系,204
HSK5,达到,204
HSK5,形成,206
HSK5,制度,207
HSK5,采取,208
HSK5,提,210
HSK5,平,213
HSK5,措施,222
HSK5,促进,224
HSK5,对于,231
HSK5,农民,232
HSK5,造成,234
HSK5,利用,239
HSK5,开放,242
HSK5,农业,248
HSK5,存在,250
HSK5,报告,254
HSK5,稳定,255
HSK5,方式,256
HSK5,和平,258
HSK5,系统,259
HSK5,双方,260
HSK5,目标,263
HSK5,资金,265
HSK5,行动,267
HSK5,全面,269
HSK5,信息,274
HSK5,直,275
HSK5,规模,276
HSK5,发表,279
HSK5,总理,280
HSK5,克,287
HSK5,强调,294
HSK5,分别,295
HSK5,产生,300
HSK5,非,301
HSK5,保持,305
HSK5,成立,307
HSK5,资源,309
HSK5,发挥,311
HSK5,如何,312
HSK5,传统,316
HSK5,行为,317
HSK5,实行,319
HSK5,贸易,321
HSK5,领域,323
HSK5,来自,324
HSK5,创造,328
HSK5,宣布,337
HSK5,期间,339
HSK5,结构,343
HSK5,统一,346
HSK5,意义,349
HSK5,理论,354
HSK5,出口,357
HSK5,劳动,361
HSK5,处理,362
HSK5,分析,366
HSK5,出版,368
HSK5,表现,371
HSK5,充分,380
HSK5,控制,388
HSK5,力量,389
HSK5,则,391
HSK5,形式,392
HSK5,消费,402
HSK5,根,406
HSK5,切,409
HSK5,原则,409
HSK5,根本,412
HSK5,综合,414
HSK5,时期,415
HSK5,项,419
HSK5,团,420
HSK5,年代,421
HSK5,民主,424
HSK5,利益,427
HSK5,便,429
HSK5,片,430
HSK5,外交,430
HSK5,执行,434
HSK5,节,435
HSK5,战争,435
HSK5,革命,437
HSK5,军事,444
HSK5,布,446
HSK5,调整,446
HSK5,整个,448
HSK5,结合,450
HSK5,行业,452
HSK5,时代,453
HSK5,类,454
HSK5,参与,459
HSK5,召开,461
HSK5,优势,462
HSK5,支,465
HSK5,制定,470
HSK5,价值,471
HSK5,销售,472
HSK5,商品,473
HSK5,现象,476
HSK5,人类,478
HSK5,解放,479
HSK5,阶段,483
HSK5,具体,484
HSK5,形势,488
HSK5,人才,489
HSK5,巨大,492
HSK5,明显,493
HSK5,举,494
HSK5,家庭,494
HSK5,成果,500
HSK5,集中,505
HSK5,地位,506
HSK5,显示,508
HSK5,装,512
