pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
48371,绶,shòu,,9663,1
48651,钿,diàn,,9664,1
48652,钿,tián,,9664,2
48491,胴,dòng,,9665,1
48391,鼹,yǎn,,9666,1
48521,晁,cháo,,9667,1
48551,屙,ē,,9668,1
48231,胝,zhī,,9669,1
48621,茴,huí,,9670,1
48531,芪,qí,,9671,1
48221,焖,mèn,,9672,1
48441,罂,yīng,,9673,1
48211,酐,gān,,9674,1
48631,陂,bēi,,9675,3
48632,陂,pō,,9675,1
48633,陂,pí,,9675,2
48581,邂,xiè,,9676,1
48241,鳝,shàn,,9677,1
48401,幂,mì,,9678,1
48571,逅,hòu,,9679,1
48311,弈,yì,,9680,1
48281,镞,zú,,9681,1
48431,衽,rèn,,9682,1
48271,鲻,zī,,9683,1
48471,徉,yáng,,9684,1
48291,赧,nǎn,,9685,1
48481,羯,jié,,9686,1
48501,氤,yīn,,9687,1
48511,炀,yáng,,9688,1
48661,鬻,yù,,9689,1
48541,骅,huá,,9690,1
200019,鸶,sī,,9691,1
48201,趸,dǔn,,9692,1
48381,蛉,líng,,9693,1
48251,肓,huāng,,9694,1
48411,贰,èr,,9695,1
48671,剐,guǎ,,9696,1
48421,祜,hù,,9697,1
48361,霁,jì,,9698,1
48331,媵,yìng,,9699,1
48341,鹘,gǔ,,9700,2
48342,鹘,hú,,9700,1
48351,鹬,yù,,9701,1
48591,觐,jìn,,9702,1
48561,氲,yūn,,9703,1
48301,謇,jiǎn,,9704,1
49021,窨,xūn,,9709,2
49022,窨,yìn,,9709,1
48851,邳,pī,,9710,1
49141,蒴,shuò,,9711,1
48991,脲,niào,,9712,1
49211,陉,xíng,,9713,1
49181,酊,dīng,,9714,1
49182,酊,dǐng,,9714,2
49051,胼,pián,,9715,1
48881,褡,dā,,9716,1
48861,昊,hào,,9717,1
48741,芗,xiāng,,9718,1
48931,崃,lái,,9719,1
49101,坌,bèn,,9720,1
48941,娌,lǐ,,9721,1
48811,弁,biàn,,9722,1
48871,渥,wò,,9723,1
49081,菽,shū,,9724,1
48691,妁,shuò,,9725,1
48891,趿,tā,,9726,1
48731,菟,tù,,9727,1
48732,菟,tú,,9727,2
48831,淖,nào,,9728,1
48711,砒,pī,,9729,1
48781,骠,biāo,,9730,1
48782,骠,piào,,9730,2
48681,诌,zhōu,,9731,1
48951,妯,zhóu,,9732,1
49041,贲,bēn,,9733,1
49042,贲,bì,,9733,2
48911,莴,wō,,9734,1
48771,晗,hán,,9735,1
49131,幄,wò,,9736,1
49011,肄,yì,,9737,1
48971,銮,luán,,9738,1
48981,钤,qián,,9739,1
49111,鱿,yóu,,9740,1
49061,鲂,fáng,,9741,1
49231,卟,bǔ,,9742,1
49001,鲵,ní,,9743,1
49161,珙,gǒng,,9744,1
200020,镟,xuàn,,9745,1
48721,钏,chuàn,,9746,1
48701,壹,yī,,9747,1
48841,衮,gǔn,,9748,1
49201,谶,chèn,,9749,1
48801,痫,xián,,9750,1
48791,浣,huàn,,9751,1
49121,葩,pā,,9752,1
49031,痱,fèi,,9753,1
48751,暧,ài,,9754,1
49221,淬,cuì,,9755,1
49071,铌,ní,,9756,1
48921,蹰,chú,,9757,1
49091,谗,chán,,9758,1
48761,黧,lí,,9759,1
48961,龇,zī,,9760,1
48821,哞,mōu,,9761,1
49191,貉,hé,,9762,1
49192,貉,háo,,9762,2
49151,罅,xià,,9763,1
49171,嵇,jī,,9764,1
48901,钹,bó,,9765,1
49341,傩,nuó,,9766,1
49381,癔,yì,,9767,1
49761,诰,gào,,9768,1
49411,氙,xiān,,9769,1
49571,殇,shāng,,9770,1
49771,笤,tiáo,,9771,1
49661,艮,gèn,,9772,2
49662,艮,gěn,,9772,1
49271,翳,yì,,9773,1
49651,湫,qiū,,9774,1
49652,湫,jiǎo,,9774,2
49401,犒,kào,,9775,1
49671,鹜,wù,,9776,1
49291,疔,dīng,,9777,1
49351,谀,yú,,9778,1
49451,讧,hòng,,9779,1
49591,瘘,lòu,,9780,1
49371,夯,bèn,,9781,2
49372,夯,hāng,,9781,1
49641,畚,běn,,9782,1
49441,辎,zī,,9783,1
49601,琨,kūn,,9784,1
49681,奂,huàn,,9785,1
